Country,City,,,,INDIANA,,
India,Delhi NCR ,,,,TEXAS,,
India,Mumbai ,,,,WASHINGTON STATE,,
India,Bangalore ,,,Canada,NEW YORK STATE,,
India,Hyderabad ,,,Chile,CALIFORNIA,,
India,Chennai ,,,Czech Republic,NEVADA,,
India,Pune ,,,Indonesia,DC,,
India,Kolkata ,,,Ireland,MICHIGAN,,
India,Lucknow ,,,Italy,OREGON,,
India,Ahmedabad ,,,Lebanon,PENNSYLVANIA,,
India,Indore ,,,New Zealand,GEORGIA,,
India,Chandigarh ,,,Philippines,MASSACHUSETTS,,
India,Kochi ,,,Poland,LOUISIANA,,
India,Jaipur,,,Portugal,FLORIDA,,
India,Coimbatore,,,Qatar,ILLINOIS,,
India,Indore,,,Slovakia,ARIZONA,,
India,Nasik,,,South Africa,NORTH CAROLINA,,
India,Bhopal,,,Sri Lanka,COLORADO,,
India,Dehradun,,,Brazil,ALASKA,,
India,Varanasi,,,Turkey,ALABAMA,,
India,Vadodara,,,United Arab,ARKANSAS,,
India,Ranchi,,,Emirates,CONNECTICUT,,
India,Goa,,,United Kingdom,DELAWARE,,
India,Nagpur,,,Malaysia,IOWA,,
India,Surat,,,,IDAHO,,
India,Mysore,,,,KANSAS,,
India,Patna,,,,INDIANA,,
India,Shimla,,,,KENTUCKY,,
India,Guwahati,,,,MARYLAND,,
India,Agra,,,,MAINE,,
India,Puducherry,,,,MINNESOTA,,
 Australia,Toowoomba,,,,MISSOURI,,
 Australia,Canberra ACT,,,,MISSISSIPPI,,
 Australia,Tasmania,,,,MONTANA,,
 Australia,Darwin,,,,NORTH DAKOTA,,
 Australia,Melbourne,,,,NEBRASKA,,
 Australia,Mornington Peninsula,,,,NEW HAMPSHIRE,,
 Australia,Bendigo,,,,NEW MEXICO,,
 Australia,Ballarat,,,,OHIO,,
 Australia,Gelling,,,,OKLAHOMA,,
 Australia,Sydney,,,,RHODE ISLAND,,
 Australia,Wollongong,,,,SOUTH CAROLINA,,
 Australia,Perth,,,,VERMONT,,
 Australia,City of Mandurah,,,,,,
 Australia,City of Rockingham,,,,,,
 Australia,Adelaide,,,,,,
 Australia,Brisbane,,,,,,
 Australia,Townsville,,,,,,
 Australia,Cairns,,,,,,
United States,Dallas,,,,,,
United States,Houston,,,,,,
United States,NEW YORK STATE,,,,,,
United States,Finger Lakes Region,,,,,,
United States,Jamestown,,,,,,
United States,Plattsburgh,,,,,,
United States,Austin,,,,,,
United States,Victoria,,,,,,
United States,Longview,,,,,,
United States,Irving,,,,,,
United States,Haltom City,,,,,,
United States,Mckkiney,,,,,,
United States,Arlington,,,,,,
United States,Richardson,,,,,,
United States,Sherman,,,,,,
United States,Abilene,,,,,,
United States,Allen,,,,,,
United States,Seattle State,,,,,,
United States,Olympia,,,,,,
United States,Bellevue,,,,,,
United States,Kirkland,,,,,,
United States,Auburn,,,,,,
